Review,Length,Negative,Positive,Date,Stars
review364,98,-2,1,2017-04-16,5
review365,21,-1,2,2017-05-09,5
review366,61,-1,3,2017-04-14,5
review367,57,-1,1,2017-05-06,1
review368,134,-1,1,2017-02-24,5
review369,65,-5,2,2017-03-02,1
review370,95,-1,3,2017-03-04,5
review371,8,-1,1,2017-03-11,1
review372,111,-1,2,2017-04-24,1
review373,43,-2,3,2017-03-03,5
review374,88,-1,3,2017-02-27,5
review375,100,-1,2,2017-04-24,5
review376,101,-1,3,2017-05-08,4
review377,45,-1,2,2017-03-20,4
review378,100,-2,2,2017-05-05,1
review379,66,-2,3,2017-04-30,4
review380,88,-1,1,2017-03-07,1
review381,96,-1,2,2017-05-02,4
review382,37,-1,1,2017-03-31,5
review383,38,-1,2,2017-05-19,2
review384,48,-1,4,2017-04-25,5
review385,86,-1,4,2017-05-14,5
review386,16,-1,2,2017-06-05,5
review387,109,-1,3,2017-03-07,5
review388,8,-1,1,2017-03-17,5
review389,41,-2,1,2017-03-17,4
review390,65,-1,1,2017-05-09,5
review391,48,-1,3,2017-04-28,4
review392,77,-1,3,2017-04-30,5
review393,33,-1,1,2017-03-21,5
review394,14,-2,1,2017-03-12,1
review395,84,-2,2,2017-02-27,4
review396,49,-2,2,2017-05-19,5
review397,46,-1,3,2017-02-23,5
review398,44,-2,2,2017-05-03,5
review399,23,-1,2,2017-02-26,5
review400,26,-1,3,2017-04-03,5
review401,353,-3,2,2017-02-07,3
review402,78,-1,2,2017-02-15,4
review403,9,-1,3,2017-04-28,5
review404,115,-1,2,2017-02-12,5
review405,13,-1,3,2017-04-15,5
review406,15,-1,3,2017-04-27,5
review407,25,-1,4,2017-03-18,5
review408,7,-1,3,2017-05-04,5
review409,138,-1,2,2017-02-13,2
review410,15,-1,3,2017-05-18,5
review411,18,-1,3,2017-03-02,5
review412,455,-2,1,2017-02-12,1
review413,16,-1,1,2017-05-02,4
review414,41,-1,3,2017-02-26,5
review415,6,-1,1,2017-02-12,5
review416,7,-1,3,2017-04-23,5
review417,7,-1,3,2017-05-02,5
review418,6,-1,1,2017-04-21,5
review419,19,-1,1,2017-02-17,5
review420,503,-3,1,2017-02-07,3
review421,65,-1,1,2017-02-17,1
review422,400,-4,1,2017-02-16,2
review423,179,-2,3,2017-02-14,4
review424,108,-1,2,2017-02-20,5
review425,20,-1,3,2017-02-14,5
review426,168,-1,2,2017-02-22,1
review427,23,-1,3,2017-02-19,5
review428,7,-1,3,2017-05-09,5
review429,13,-1,3,2017-02-15,5
review430,67,-1,2,2017-02-19,3
review431,109,-1,1,2017-02-14,1
review432,8,-1,3,2017-03-07,5
review433,123,-1,1,2017-02-11,5
review434,556,-1,4,2017-02-02,1
review435,18,-1,1,2017-02-20,5
review436,9,-1,2,2017-05-07,4
review437,5,-1,3,2017-03-12,5
review438,175,-1,4,2017-02-27,5
review439,23,-1,2,2017-02-26,5
review440,59,-1,2,2017-02-02,5
review441,108,-1,1,2017-02-02,3
review442,129,-2,2,2017-02-06,1
review443,94,-1,1,2017-02-07,4
review444,621,-3,1,2017-02-13,1
review445,62,-1,1,2017-02-11,4
review446,624,-1,2,2017-02-01,4
review447,572,-1,2,2017-02-01,5
review448,55,-1,2,2017-02-01,5
review449,37,-1,1,2017-02-01,3
review450,137,-1,1,2017-02-03,5
review451,52,-1,1,2017-02-02,2
review452,198,-1,2,2017-02-04,5
review453,95,-2,1,2017-02-06,4
review454,82,-1,1,2017-02-01,5
review455,503,-3,1,2017-02-07,3
review456,353,-2,2,2017-02-02,5
review457,150,-2,1,2017-02-02,1
review458,230,-2,2,2017-02-09,2
review459,84,-1,2,2017-02-01,5
review460,217,-1,1,2017-02-02,3
review461,28,-1,2,2017-02-01,5
review462,149,-1,3,2017-02-02,5
review463,113,-1,3,2017-02-07,4
review464,187,-1,2,2017-02-01,5
review465,123,-1,3,2017-02-03,5
review466,295,-4,1,2017-02-04,1
review467,386,-2,1,2017-02-01,3
review468,412,-2,3,2017-02-02,2
review469,593,-4,3,2017-02-03,4
review470,440,-2,3,2017-02-05,4
review471,137,-2,1,2017-02-02,3
review472,49,-1,1,2017-02-06,1
review473,216,-1,3,2017-02-05,5
review474,89,-1,2,2017-02-01,4
review475,144,-1,3,2017-02-02,5
review476,315,-1,2,2017-02-01,3
review477,135,-3,3,2017-02-04,1
review478,94,-1,2,2017-02-01,4
review479,235,-4,3,2017-02-01,5
review480,281,-3,2,2016-12-01,1
review481,348,-1,1,2016-11-03,2
review482,199,-2,1,2016-09-24,1
review483,41,-1,1,2017-02-09,5
review484,30,-1,2,2017-02-02,4
review485,565,-2,3,2016-11-02,1
review486,325,-1,2,2016-10-07,2
review487,225,-2,3,2016-12-06,2
review488,36,-1,1,2017-02-08,5
review489,318,-2,3,2016-10-03,1
review490,463,-4,2,2016-12-11,1
review491,74,-1,3,2017-02-01,5
review492,216,-2,1,2016-10-12,1
review493,200,-2,2,2016-09-20,1
review494,244,-2,2,2017-01-16,3
review495,8,-1,1,2017-02-08,1
review496,414,-2,3,2017-01-19,3
review497,239,-2,3,2016-09-27,5
review498,339,-2,2,2016-09-23,1
review499,31,-1,3,2017-02-08,5
review500,179,-3,1,2016-11-24,1
review501,551,-4,2,2016-10-09,1
review502,516,-2,3,2016-10-20,1
review503,12,-1,3,2017-02-07,5
review504,538,-2,3,2017-01-20,1
review505,71,-1,1,2017-02-07,5
review506,498,-3,2,2016-10-11,3
review507,44,-1,1,2017-02-01,5
review508,35,-1,3,2017-02-03,5
review509,275,-2,3,2016-10-14,2
review510,493,-3,3,2016-09-26,1
review511,49,-1,1,2017-02-06,1
review512,324,-5,2,2016-10-29,1
review513,329,-2,2,2016-11-26,1
review514,75,-1,2,2017-02-01,5
review515,318,-2,2,2016-10-03,2
review516,177,-3,3,2016-12-03,1
review517,30,-1,3,2017-02-02,4
review518,61,-1,3,2017-02-07,4
review519,46,-1,1,2017-02-06,5
review520,546,-3,2,2016-12-20,3
review521,155,-1,3,2016-09-18,3
review522,150,-3,2,2016-11-07,1
review523,190,-2,2,2017-01-05,1
review524,165,-1,2,2016-11-02,1
review525,243,-1,2,2016-10-20,5
review526,306,-3,2,2016-12-25,1
review527,66,-3,2,2016-12-05,1
review528,403,-3,3,2016-11-19,1
review529,254,-3,1,2016-12-18,1
review530,174,-1,1,2016-12-03,2
review531,269,-3,2,2016-11-22,2
review532,127,-3,3,2016-10-20,2
review533,123,-1,2,2017-02-27,1
review534,426,-2,3,2017-01-01,1
review535,152,-1,1,2016-11-11,3
review536,274,-2,2,2016-09-20,2
review537,147,-2,2,2016-12-05,1
review538,180,-1,1,2016-11-20,3
review539,79,-3,1,2016-10-23,1
review540,524,-2,1,2016-10-22,3
review541,217,-2,1,2016-12-02,2
review542,122,-2,1,2016-10-23,2
review543,145,-3,1,2016-12-11,1
review544,824,-4,3,2016-12-19,1
review545,240,-2,2,2016-11-03,1
review546,164,-2,1,2017-01-28,1
review547,193,-3,1,2016-11-04,2
review548,99,-1,3,2016-09-16,4
review549,203,-1,3,2016-10-01,2
review550,289,-1,1,2016-12-16,3
review551,172,-4,1,2016-11-07,1
review552,76,-2,1,2016-10-08,1
review553,329,-2,2,2016-11-26,1
review554,127,-2,1,2016-12-03,1
review555,164,-1,1,2016-10-16,1
review556,88,-3,1,2016-12-20,1
review557,131,-2,1,2016-09-23,3
review558,150,-1,1,2016-09-27,2
review559,528,-3,3,2016-11-16,4
review560,32,-3,1,2017-01-04,1
review561,105,-1,2,2016-10-29,3
review562,191,-3,2,2016-08-29,1
review563,31,-1,2,2016-11-02,2
review564,41,-1,1,2016-10-11,2
review565,397,-2,1,2016-09-19,3
review566,35,-1,1,2017-01-07,5
review567,464,-3,3,2016-08-21,4
review568,66,-3,2,2016-12-05,1
review569,40,-1,2,2016-10-29,5
review570,493,-1,2,2016-07-29,4
review571,388,-2,2,2016-07-31,1
review572,46,-1,1,2016-12-21,5
review573,36,-1,1,2017-03-15,5
review574,55,-1,1,2017-01-11,3
review575,73,-3,3,2017-01-27,1
review576,34,-1,1,2016-09-19,5
review577,9,-1,2,2017-05-25,4
review578,246,-1,1,2016-09-09,5
review579,24,-1,2,2017-03-28,5
review580,75,-2,1,2016-12-03,1
review581,448,-3,3,2016-12-17,1
review582,162,-2,3,2016-09-25,2
review583,31,-1,1,2016-09-19,4
review584,314,-2,2,2016-07-30,1
review585,47,-1,2,2016-11-10,4
review586,44,-1,3,2017-02-01,5
review587,332,-4,2,2016-07-30,1
review588,74,-1,1,2017-01-21,1
review589,7,-3,1,2016-10-06,1
review590,24,-1,1,2016-10-14,5
review591,216,-1,1,2016-08-25,1
review592,76,-1,3,2017-01-31,5
review593,165,-1,3,2016-12-15,4
review594,57,-1,3,2016-09-16,4
review595,190,-1,3,2016-09-26,5
review596,25,-1,1,2016-12-31,2
review597,34,-1,2,2016-09-17,5
review598,53,-3,3,2016-10-25,1
review599,74,-1,3,2016-09-16,4
review600,35,-1,1,2016-09-11,1
review601,243,-3,1,2016-08-20,1
review602,152,-1,2,2016-09-16,1
review603,393,-3,1,2016-07-23,1
review604,397,-2,1,2016-09-19,3
review605,91,-2,1,2016-08-04,1
review606,398,-3,3,2016-08-28,2
review607,264,-4,3,2016-09-07,1
review608,187,-3,1,2016-10-08,1
review609,155,-2,1,2016-08-21,2
review610,284,-1,2,2016-04-02,1
review611,68,-1,1,2016-09-01,1
review612,139,-1,1,2016-09-07,3
review613,502,-3,2,2016-03-24,1
review614,483,-3,3,2016-03-24,3
review615,261,-4,2,2016-08-13,1
review616,268,-3,3,2016-10-06,5
review617,119,-1,3,2016-09-03,2
review618,260,-1,4,2016-09-06,3
review619,219,-5,1,2016-07-28,1
review620,50,-1,3,2016-09-16,4
review621,273,-2,2,2016-03-23,1
review622,31,-1,2,2016-08-19,1
review623,154,-1,3,2016-08-18,4
review624,90,-1,3,2016-08-07,5
review625,261,-1,2,2016-03-20,2
review626,151,-1,2,2016-07-29,4
review627,156,-2,2,2016-08-12,1
review628,552,-2,3,2016-04-28,1
review629,535,-2,3,2016-06-10,3
review630,427,-3,1,2016-05-18,1
review631,205,-3,3,2016-05-10,1
review632,268,-2,2,2016-04-18,1
review633,530,-4,3,2016-05-16,2
review634,561,-2,3,2016-09-21,4
review635,88,-3,1,2016-07-28,1
review636,402,-2,1,2016-07-02,1
review637,326,-1,4,2016-06-13,2
review638,422,-3,2,2016-04-03,1
review639,548,-3,3,2016-08-25,5
review640,279,-3,3,2016-04-25,1
review641,328,-3,2,2016-06-05,1
review642,236,-2,2,2016-05-16,1
review643,605,-4,4,2016-07-04,2
review644,345,-2,1,2016-04-29,1
review645,222,-3,1,2016-03-19,1
review646,447,-4,2,2016-07-18,3
review647,473,-2,2,2016-05-02,2
review648,388,-1,3,2016-08-01,1
review649,498,-2,3,2016-04-05,1
review650,317,-2,2,2016-03-22,4
review651,522,-4,3,2016-05-23,2
review652,481,-3,3,2016-04-25,1
review653,249,-3,3,2016-07-20,4
review654,499,-2,3,2016-04-11,4
review655,333,-4,2,2016-04-15,1
review656,389,-3,2,2016-05-20,1
review657,547,-4,2,2016-05-20,1
review658,285,-2,3,2016-05-26,1
review659,226,-2,3,2016-03-22,1
review660,136,-2,1,2016-03-23,2
review661,227,-1,2,2016-05-25,1
review662,187,-2,1,2016-04-11,1
review663,177,-2,1,2016-04-03,1
review664,178,-4,3,2016-04-09,3
review665,502,-3,2,2016-03-24,1
review666,483,-3,3,2016-03-24,3
review667,437,-3,3,2016-04-17,1
review668,322,-1,1,2016-03-20,3
review669,719,-3,3,2016-05-25,1
review670,247,-2,2,2016-04-18,2
review671,309,-2,2,2016-07-29,1
review672,205,-2,3,2016-04-13,2
review673,307,-2,3,2016-07-20,3
review674,296,-3,1,2016-04-05,1
review675,308,-3,3,2016-03-27,1
review676,696,-4,2,2016-06-27,1
review677,269,-3,1,2016-08-14,3
review678,414,-2,3,2016-03-22,3
review679,223,-2,3,2016-06-27,1
review680,520,-2,1,2016-05-08,1
review681,206,-1,3,2016-03-16,3
review682,176,-3,3,2016-05-12,1
review683,693,-3,4,2016-07-17,1
review684,90,-1,3,2016-03-24,1
review685,347,-1,3,2016-04-09,3
review686,142,-1,2,2016-05-02,1
review687,179,-2,1,2016-07-01,1
review688,116,-1,1,2016-03-16,1
review689,453,-2,2,2016-03-30,3
review690,219,-5,2,2016-04-15,1
review691,203,-2,3,2016-03-29,1
review692,447,-4,3,2016-08-27,1
review693,96,-1,1,2016-05-11,2
review694,200,-1,2,2016-03-27,1
review695,544,-4,2,2016-04-26,5
review696,106,-2,2,2016-03-28,2
review697,298,-2,5,2016-05-08,1
review698,114,-2,2,2016-05-14,1
review699,200,-4,1,2016-04-25,1
review700,477,-1,1,2016-05-25,1
review701,215,-3,4,2016-04-14,1
review702,140,-1,1,2016-03-27,1
review703,159,-3,1,2016-05-25,1
review704,141,-2,3,2016-05-13,1
review705,951,-3,3,2016-06-22,1
review706,190,-1,2,2016-06-29,1
review707,353,-3,1,2016-04-04,1
review708,253,-3,3,2016-06-26,1
review709,204,-3,2,2016-03-22,1
review710,205,-2,3,2016-04-13,2
review711,149,-1,2,2016-03-26,2
review712,545,-4,3,2016-07-27,1
review713,178,-3,1,2016-04-10,1
review714,130,-3,2,2016-06-06,2
review715,207,-1,1,2016-05-19,1
review716,514,-3,2,2016-09-18,1
review717,130,-4,1,2016-06-17,1
review718,142,-1,3,2016-03-31,5
review719,469,-2,2,2016-07-20,2
review720,48,-1,2,2016-03-18,3
review721,59,-1,1,2016-03-16,4
review722,88,-1,2,2016-05-31,1
review723,64,-3,1,2016-05-05,1
review724,74,-1,1,2016-07-28,1
review725,44,-1,1,2016-03-22,1
review726,28,-1,2,2016-05-13,1
review727,75,-1,2,2016-03-21,2
review728,28,-1,1,2016-04-06,1
review729,116,-1,1,2016-03-16,1
review730,144,-2,1,2016-07-04,1
review731,97,-1,1,2016-03-20,1
